Date,Campaign Name,Ad Set Name,Device,Impressions,Clicks,CPC ($),Conversions,Cost per Conversion ($)
2024-01-29,Campaign C,Ad Set 2,Mobile,12485,620,1.1099288240189429,174,12.176249644743761
2024-01-30,Campaign C,Ad Set 1,Mobile,10084,727,1.9013286656726298,297,25.530631351364754
2024-01-31,Campaign A,Ad Set 1,Mobile,17893,4822,1.7015987037139955,73,17.781267179852055
2024-01-01,Campaign C,Ad Set 1,Desktop,6270,2831,1.464100032709472,257,47.96415327800469
2024-01-02,Campaign B,Ad Set 3,Mobile,9706,1164,1.809290446234188,131,14.132246939257316
2024-01-03,Campaign A,Ad Set 3,Mobile,8158,2101,1.5743251550443425,236,19.237712232636817
2024-01-04,Campaign B,Ad Set 2,Desktop,8276,2145,1.0980518946095568,182,11.364471398613254
2024-01-05,Campaign C,Ad Set 1,Desktop,13497,643,0.9629873249310966,273,17.78202198286249
2024-01-06,Campaign A,Ad Set 3,Desktop,16459,2842,1.4318788564890765,52,31.000091359925598
2024-01-07,Campaign C,Ad Set 1,Desktop,9445,4665,0.39115985490789484,93,45.622316002934106
2024-01-08,Campaign C,Ad Set 2,Desktop,14256,1605,1.8040866995089526,79,43.824062003025496
2024-01-09,Campaign A,Ad Set 1,Mobile,18696,3637,1.8039592535590852,255,9.127383138348065
2024-01-10,Campaign C,Ad Set 2,Desktop,9562,3092,0.6776700918573157,269,49.611391903522716
2024-01-11,Campaign A,Ad Set 1,Desktop,13513,1641,1.3798446042375987,196,16.42773435554436
2024-01-12,Campaign C,Ad Set 2,Mobile,8380,4934,1.2380367509125034,91,48.217896826660414
2024-01-13,Campaign B,Ad Set 2,Mobile,16160,2714,0.2686002215877277,165,28.184832580763942
2024-01-14,Campaign A,Ad Set 1,Desktop,8503,674,1.1339178054550565,85,29.04403026557523
2024-01-15,Campaign B,Ad Set 3,Mobile,18320,1452,1.0802689848028506,87,17.210723346389493
2024-01-16,Campaign B,Ad Set 2,Desktop,12964,613,0.7108492404181164,263,32.39592279240672
2024-01-17,Campaign B,Ad Set 1,Desktop,6673,1283,0.8535519398794003,50,7.53967962921115
2024-01-18,Campaign A,Ad Set 1,Desktop,8137,1336,0.38969322052280797,247,45.5740161706304
2024-01-19,Campaign B,Ad Set 3,Mobile,12114,931,1.7016288971534224,254,34.743793086171536
2024-01-20,Campaign A,Ad Set 2,Mobile,18012,2383,0.6659486516353212,135,34.21560424086145
2024-01-21,Campaign C,Ad Set 3,Desktop,9325,3977,0.6535434037592122,277,7.445788790108286
2024-01-22,Campaign C,Ad Set 2,Desktop,18260,2099,0.5786080008117641,177,30.522984377921016
2024-01-23,Campaign C,Ad Set 1,Desktop,6621,3114,1.44588453709824,123,47.80987272031418
2024-01-24,Campaign A,Ad Set 1,Mobile,19053,762,1.7755611085724181,248,20.35840127158353
2024-01-25,Campaign C,Ad Set 3,Desktop,5695,4991,1.6265719900720002,155,29.882970734896887
2024-01-26,Campaign A,Ad Set 1,Desktop,18707,3260,0.7985623245911619,75,22.394908655227763
2024-01-27,Campaign A,Ad Set 1,Mobile,18027,4831,0.43480076425768077,127,10.200584090860646
2024-01-28,Campaign C,Ad Set 3,Mobile,17900,3526,1.2309305050198769,213,34.543703801636866
2024-01-29,Campaign C,Ad Set 1,Desktop,15059,4743,1.6530436794507088,275,36.49541112257087
2024-01-30,Campaign B,Ad Set 2,Mobile,5193,1276,1.0467738789502044,41,12.064679338150343
2024-01-31,Campaign B,Ad Set 1,Desktop,12559,343,0.7999008738807175,213,7.935424412524233
2024-01-01,Campaign C,Ad Set 2,Mobile,8384,3446,1.7564827934524516,149,27.848758432965965
2024-01-02,Campaign B,Ad Set 3,Mobile,14729,630,1.61751532655502,83,47.85063254407443
2024-01-03,Campaign B,Ad Set 2,Desktop,13727,1827,0.7791177314338967,294,37.361669243706906
2024-01-04,Campaign B,Ad Set 1,Mobile,9580,3349,1.25178921349685,133,40.202489537252625
2024-01-05,Campaign C,Ad Set 1,Desktop,13726,4879,0.2563073502055786,70,14.02169029104638
2024-01-06,Campaign A,Ad Set 3,Mobile,8257,4614,0.7986917053476669,244,6.267158022031287
2024-01-07,Campaign C,Ad Set 3,Mobile,11506,4187,0.9511582265486335,139,9.351227798162375
2024-01-08,Campaign A,Ad Set 1,Mobile,19620,3768,1.5736743777062718,195,42.86776281350155
2024-01-09,Campaign C,Ad Set 3,Desktop,15610,2050,0.7696445082131714,129,18.208563669749346
2024-01-10,Campaign B,Ad Set 3,Desktop,7989,4146,1.2815558898208121,40,27.883922776404166
2024-01-11,Campaign C,Ad Set 2,Desktop,16147,1517,0.8043667240399092,269,49.72235662611087
2024-01-12,Campaign A,Ad Set 3,Mobile,11035,1647,1.9925267923211265,207,15.989989921458184
2024-01-13,Campaign A,Ad Set 1,Desktop,11848,1659,0.9052607654774691,103,33.64087726754609
2024-01-14,Campaign C,Ad Set 2,Mobile,15148,1014,0.7633113194479366,45,37.888395864589555
2024-01-15,Campaign A,Ad Set 3,Desktop,7533,2332,0.5977449146138406,21,46.778944054181
2024-01-16,Campaign B,Ad Set 1,Desktop,17169,4038,1.2492763070393251,102,18.286876073360844
2024-01-17,Campaign C,Ad Set 3,Desktop,7579,4165,1.5619222303540492,233,31.46135526977522
2024-01-18,Campaign B,Ad Set 2,Mobile,14163,3070,1.8045437832637745,190,43.77736001351379
2024-01-19,Campaign C,Ad Set 1,Mobile,17249,4346,1.9859726335653731,279,14.30180914541757
2024-01-20,Campaign A,Ad Set 2,Mobile,11453,1450,0.5467226379767073,264,18.685577745950788
2024-01-21,Campaign B,Ad Set 2,Mobile,19134,4157,0.11208829684053706,185,40.8197753027518
2024-01-22,Campaign C,Ad Set 1,Mobile,6917,4200,1.5215244978129734,106,36.33195457545024
2024-01-23,Campaign C,Ad Set 2,Desktop,7171,960,0.4943906660479316,243,23.193810207086333
2024-01-24,Campaign B,Ad Set 2,Mobile,11415,2204,0.620798961701326,267,14.884989756461684
2024-01-25,Campaign C,Ad Set 2,Desktop,9890,3515,0.23246047810023568,101,32.98775398093341
2024-01-26,Campaign A,Ad Set 3,Desktop,14731,611,1.0417584179408181,121,31.562720210749767
2024-01-27,Campaign B,Ad Set 2,Desktop,16637,2902,1.1672625916648627,296,33.10192253319032
2024-01-28,Campaign A,Ad Set 3,Desktop,10696,2262,1.7135386467598612,155,32.6504115993715
2024-01-29,Campaign B,Ad Set 1,Mobile,11952,4474,0.3670721601527456,211,28.109505332994583
2024-01-30,Campaign B,Ad Set 1,Mobile,11027,4413,0.2912225358902125,163,5.961333725049271
2024-01-31,Campaign C,Ad Set 3,Desktop,17696,2181,0.33961650959197803,76,40.31956414189049
